[-4.67929,-3.99299]
[-4.67159,-3.98588]
[-4.66391,-3.9788]
[-4.65626,-3.97174]
[-4.64863,-3.96471]
[-4.64102,-3.95769]
[-4.63344,-3.95069]
[-4.62588,-3.94372]
[-4.61835,-3.93676]
[-4.61084,-3.92983]
[-4.60335,-3.92292]
[-4.59588,-3.91603]
[-4.58844,-3.90915]
[-4.58103,-3.9023]
[-4.57363,-3.89547]
[-4.56626,-3.88866]
[-4.55891,-3.88187]
[-4.55158,-3.8751]
[-4.54428,-3.86835]
[-4.537,-3.86162]
[-4.52974,-3.85491]
[-4.5225,-3.84822]
[-4.51529,-3.84155]
[-4.5081,-3.8349]
[-4.50093,-3.82827]
[-4.49378,-3.82165]
[-4.48665,-3.81506]
[-4.47955,-3.80849]
[-4.47246,-3.80193]
[-4.4654,-3.7954]
[-4.45836,-3.78888]
[-4.45134,-3.78238]
[-4.44434,-3.7759]
[-4.43737,-3.76944]
[-4.43041,-3.763]
[-4.42347,-3.75658]
[-4.41656,-3.75017]
[-4.40967,-3.74379]
[-4.40279,-3.73742]
[-4.39594,-3.73107]
[-4.38911,-3.72474]
[-4.3823,-3.71842]
[-4.37551,-3.71213]
[-4.36874,-3.70585]
[-4.36199,-3.69959]
[-4.35526,-3.69335]
[-4.34855,-3.68713]
[-4.34185,-3.68092]
[-4.33518,-3.67473]
[-4.32853,-3.66856]
[-4.3219,-3.66241]
[-4.31529,-3.65627]
[-4.30869,-3.65015]
[-4.30212,-3.64405]
[-4.29557,-3.63796]
[-4.28903,-3.6319]
[-4.28251,-3.62585]
[-4.27602,-3.61981]
[-4.26954,-3.6138]
[-4.26308,-3.6078]
[-4.25664,-3.60181]
[-4.25022,-3.59584]
[-4.24381,-3.58989]
[-4.23743,-3.58396]
[-4.23106,-3.57804]
[-4.22471,-3.57214]
[-4.21838,-3.56626]
[-4.21207,-3.56039]
[-4.20578,-3.55454]
[-4.1995,-3.5487]
[-4.19324,-3.54288]
[-4.187,-3.53707]
[-4.18078,-3.53129]
[-4.17458,-3.52551]
[-4.16839,-3.51976]
[-4.16222,-3.51402]
[-4.15607,-3.50829]
[-4.14993,-3.50258]
[-4.14382,-3.49688]
[-4.13772,-3.49121]
[-4.13163,-3.48554]
[-4.12557,-3.47989]
[-4.11952,-3.47426]
[-4.11349,-3.46864]
[-4.10747,-3.46304]
[-4.10148,-3.45745]
[-4.09549,-3.45188]
[-4.08953,-3.44632]
[-4.08358,-3.44078]
[-4.07765,-3.43525]
[-4.07174,-3.42973]
[-4.06584,-3.42423]
[-4.05996,-3.41875]
[-4.05409,-3.41328]
[-4.04824,-3.40782]
[-4.04241,-3.40238]
[-4.03659,-3.39696]
[-4.03079,-3.39154]
[-4.025,-3.38615]
[-4.01923,-3.38076]
[-4.01348,-3.37539]
[-4.00774,-3.37004]
[-4.00202,-3.3647]
[-3.99631,-3.35937]
[-3.99062,-3.35405]
[-3.98494,-3.34876]
[-3.97928,-3.34347]
[-3.97364,-3.3382]
[-3.96801,-3.33294]
[-3.96239,-3.32769]
[-3.95679,-3.32246]
[-3.95121,-3.31724]
[-3.94564,-3.31204]
[-3.94009,-3.30685]
[-3.93455,-3.30167]
[-3.92902,-3.29651]
[-3.92351,-3.29136]
[-3.91802,-3.28622]
[-3.91253,-3.28109]
[-3.90707,-3.27598]
